cohort_obs_dt,segment_calibration,consolidated_id,default_first_in_12M_dt,pd_model_class,pd_model_pct,pd_decided_class,pd_decided_pct,issued_or_outstanding_amt_EUR,granted_amt_EUR,EaD_amt_EUR,RWA_amt_EUR,default_flg,Validation_sample
12/31/2022,CORP,87901530,,7,0.0623,7,0.0623,154478,154478,154478,126619,0,1
12/31/2022,CORP,40718786,,4,0.0057,4,0.0057,1564150,2164150,2014150,1142711,0,1
12/31/2022,CORP,97863007,,6,0.023134,6,0.023134,2690764,2690764,2690764,3640890,0,1
12/31/2022,CORP,23152103,,6,0.0205,6,0.0205,195975,328975,295725,261107.1,0,1
12/31/2022,CORP,79645879,,4,0.004593,4,0.004593,8998580.5,10263600.5,9947345.5,8250292.1,0,1
12/31/2022,CORP,97286552,,6,0.0294,6,0.0294,40000,40000,40000,35514.8,0,1
12/31/2022,CORP,45387998,,3,0.0028,4,0.0057,93781.31,262220.21,209957.71,176444.15,0,1
12/31/2022,CORP,14460834,,5,0.0113,6,0.0226,11120012,15264270.41,14228200.56,19252286.54,0,1
12/31/2022,CORP,48534427,,2,0.0015,2,0.0015,0,33000,24750,5276.72,0,1
12/31/2022,CORP,87223818,,5,0.011202,5,0.011202,0,400000,300000,218962,0,1
12/31/2022,CORP,52217373,,5,0.0128,5,0.0128,104942,106243.61,105918.207,77859.499,0,1
12/31/2021,CORP,21501389,,5,0.0103,5,0.0103,4082160.82,4411914.82,4279475.82,3239268.17,0,1
12/31/2021,CORP,45925527,,5,0.012717,5,0.012717,60000,60000,30000,32917.6,0,1
12/31/2021,CORP,42426594,,4,0.0057,4,0.0057,1821752.7,1954358.7,1921207.1,1121118.3,0,1
12/31/2021,CORP,65909652,,4,0.0056,4,0.0056,380498,712437,629452,310064.7,0,1
12/31/2021,CORP,15568237,,2,0.0014,4,0.0057,7576530,13003999.78,11647132.59,9788010.1,0,1
12/31/2021,CORP,84419549,,4,0.0074,4,0.0074,222654.11,455400.41,397214.11,224520.66,0,1
12/31/2021,CORP,37313202,,3,0.00212,2,0.0014,1501275.73,1540240.03,1530498.93,627302.193,0,1
12/31/2021,CORP,11608883,,2,0.0015,2,0.0015,0,300000,225000,61676,0,1
12/31/2021,CORP,70259930,,4,0.0044,4,0.0044,401850.3,600047.3,550497.3,249830.2,0,1
12/31/2021,CORP,48542593,,4,0.0057,5,0.0113,149196,150009.92,149806.44,109340.544,0,1
12/31/2021,CORP,48287211,,4,0.0044,5,0.0113,302373,324373,318873,232736.9,0,1
12/31/2021,CORP,99855350,,3,0.0037,5,0.0113,476453,676453,626453,457232,0,1
12/31/2021,CORP,29332717,,6,0.0252,6,0.0252,671096.7,2812475.4,2147148.35,1900208.26,0,1
12/31/2021,CORP,40243818,,4,0.0057,5,0.0113,2007869,2007869,401574,,0,1
12/31/2021,CORP,26020835,,6,0.0252,6,0.0252,225745.8,300000.08,59999.99,53187.67,0,1
12/31/2021,CORP,73198288,,4,0.0077,4,0.0077,260156.4,420156.4,380156.4,189519.4,0,1
12/31/2021,CORP,39098891,,4,0.0057,3,0.0028,148093552,148882590,148093552,,0,1
12/31/2021,CORP,86613115,3/28/2022,6,0.017681,6,0.017681,2391155.9,2393712.34,2392434.12,2640811.92,1,1
12/31/2021,CORP,79222623,,6,0.0226,6,0.0226,1015120,1381520,1289920,1635217.1,0,1
12/31/2021,CORP,46108396,,7,0.06,7,0.06,222091,350017,318035.6,338957,0,1
12/31/2021,CORP,58607313,,5,0.008,5,0.008,968454.3,1568454.3,1418454.3,848673.6,0,1
12/31/2021,CORP,95689933,,7,0.0591,7,0.0591,529949.7,558409.9,551294.8,466667,0,1
